      2 ?        S      0:00 [kthreadd]
   3951 ?        Sl     0:03  |   |   \_ /opt/google/chrome/chrome --type=gpu-process --enable-crashpad --crashpad-handler-pid=3914 --enable-crash-reporter=1ff0a3ac-aed0-4443-8f47-3501cb01d0fc, --change-stack-guard-on-fork=enable --gpu-preferences=WAAAAAAAAAAgAAAIAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAABAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,11071372702336395763,905752262678348807,131072
   3923 ?        S      0:00  |   \_ /opt/google/chrome/chrome --type=zygote --enable-crashpad --crashpad-handler-pid=3914 --enable-crash-reporter=1ff0a3ac-aed0-4443-8f47-3501cb01d0fc, --change-stack-guard-on-fork=enable --enable-crashpad
   3924 ?        S      0:00  |   |   \_ /opt/google/chrome/nacl_helper
   3927 ?        S      0:00  |   |   \_ /opt/google/chrome/chrome --type=zygote --enable-crashpad --crashpad-handler-pid=3914 --enable-crash-reporter=1ff0a3ac-aed0-4443-8f47-3501cb01d0fc, --change-stack-guard-on-fork=enable --enable-crashpad
   3967 ?        Sl     0:00  |   |       \_ /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=ru --service-sandbox-type=utility --enable-crashpad --crashpad-handler-pid=3914 --enable-crash-reporter=1ff0a3ac-aed0-4443-8f47-3501cb01d0fc, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,11071372702336395763,905752262678348807,131072
   4123 ?        Sl     0:00  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3914 --enable-crash-reporter=1ff0a3ac-aed0-4443-8f47-3501cb01d0fc, --extension-process --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --lang=ru --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --launch-time-ticks=1600879319 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,11071372702336395763,905752262678348807,131072
   4266 ?        Sl     0:04  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3914 --enable-crash-reporter=1ff0a3ac-aed0-4443-8f47-3501cb01d0fc, --extension-process --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --lang=ru --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=23 --launch-time-ticks=1604855600 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,11071372702336395763,905752262678348807,131072
   4353 ?        Sl     0:01  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3914 --enable-crash-reporter=1ff0a3ac-aed0-4443-8f47-3501cb01d0fc, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --lang=ru --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=26 --launch-time-ticks=1641623236 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,11071372702336395763,905752262678348807,131072
   4717 ?        Sl     0:00  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=3914 --enable-crash-reporter=1ff0a3ac-aed0-4443-8f47-3501cb01d0fc, --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --lang=ru --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=39 --launch-time-ticks=2153774127 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,11071372702336395763,905752262678348807,131072
   3952 ?        Sl     0:01  |   \_ /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=ru --service-sandbox-type=none --enable-crashpad --crashpad-handler-pid=3914 --enable-crash-reporter=1ff0a3ac-aed0-4443-8f47-3501cb01d0fc, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,11071372702336395763,905752262678348807,131072 --enable-crashpad
   3914 ?        Sl     0:00  \_ /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/lendor/.config/google-chrome/Crash Reports --metrics-dir=/home/lendor/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 20.04.4 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=103.0.5060.114 --initial-client-fd=5 --shared-client-connection
   3916 ?        Sl     0:00  \_ /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/lendor/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 20.04.4 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=103.0.5060.114 --initial-client-fd=4 --shared-client-connection
   1946 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
   2662 ?        Ssl    0:00 /usr/libexec/fwupd/fwupd
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00  \_ [rcu_gp]
      4 ?        I<     0:00  \_ [rcu_par_gp]
      5 ?        I<     0:00  \_ [slub_flushwq]
      6 ?        I<     0:00  \_ [netns]
      8 ?        I<     0:00  \_ [kworker/0:0H-events_highpri]
     10 ?        I<     0:00  \_ [mm_percpu_wq]
     11 ?        S      0:00  \_ [rcu_tasks_rude_]
     12 ?        S      0:00  \_ [rcu_tasks_trace]
     13 ?        S      0:00  \_ [ksoftirqd/0]
     14 ?        I      0:01  \_ [rcu_sched]
     15 ?        S      0:00  \_ [migration/0]
     16 ?        S      0:00  \_ [idle_inject/0]
